127.0.0.1 - - [07/May/2025:01:42:40 -0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/May/2025:01:42:59 -0700] "GET /Online_Hotel_Reservation_System/Home.jsp HTTP/1.1" 200 9089
0:0:0:0:0:0:0:1 - - [07/May/2025:01:42:59 -0700] "GET /Online_Hotel_Reservation_System/css/home.css HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [07/May/2025:01:42:59 -0700] "GET /Online_Hotel_Reservation_System/images/pic1.jpg HTTP/1.1" 200 10969037
0:0:0:0:0:0:0:1 - - [07/May/2025:01:42:59 -0700] "GET /Online_Hotel_Reservation_System/images/pic2.jpg HTTP/1.1" 200 4304770
0:0:0:0:0:0:0:1 - - [07/May/2025:01:43:00 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2025:01:43:00 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 200 53260711
0:0:0:0:0:0:0:1 - - [07/May/2025:01:43:00 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 36483495
0:0:0:0:0:0:0:1 - - [07/May/2025:01:43:03 -0700] "GET /Online_Hotel_Reservation_System/Images/Tendura%201.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [07/May/2025:01:43:07 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [07/May/2025:01:43:07 -0700] "GET /Online_Hotel_Reservation_System/css/userProfile.css HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [07/May/2025:01:43:35 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [07/May/2025:01:43:37 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [07/May/2025:01:43:38 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [07/May/2025:01:44:08 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [07/May/2025:01:44:15 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [07/May/2025:01:44:15 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [07/May/2025:01:44:16 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [07/May/2025:01:44:16 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [07/May/2025:01:45:01 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3596
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:43 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:43 -0700] "GET /Online_Hotel_Reservation_System/js/userProfile.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:45 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:45 -0700] "GET /Online_Hotel_Reservation_System/js/userProfile.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:45 -0700] "GET /Online_Hotel_Reservation_System/css/userProfile.css HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:45 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:45 -0700] "GET /Online_Hotel_Reservation_System/css/userProfile.css HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:45 -0700] "GET /Online_Hotel_Reservation_System/js/userProfile.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:45 -0700] "GET /Online_Hotel_Reservation_System/userProfile.jsp? HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:45 -0700] "GET /Online_Hotel_Reservation_System/css/userProfile.css HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [07/May/2025:01:56:45 -0700] "GET /Online_Hotel_Reservation_System/js/userProfile.js HTTP/1.1" 404 809
